错误词,建议词,（备注：第1列输入错词，第2列输入建议词，请保留第1行内容，从第2行开始添加词条）
招标中限定本地*,促进商品要素自由流动
本地产品,促进商品要素自由流动
限定*,促进商品要素自由流动
指定*,促进商品要素自由流动
限定原产地,促进商品要素自由流动
采购本地*,促进商品要素自由流动
本地*优先,促进商品要素自由流动
政府采购本地,促进商品要素自由流动
排斥外地,促进商品要素自由流动
限制外地,促进商品要素自由流动
准入门槛,统一市场准入标准
准入条件,统一市场准入标准
备案注册限制,统一市场准入标准
跨区域经营限制,保障经营主体自由迁移
迁移设置障碍,保障经营主体自由迁移
本地*,保障经营主体自由迁移
本市企业??,保障经营主体自由迁移
本地注册,保障经营主体自由迁移
本地登记,保障经营主体自由迁移
本地经营,保障经营主体自由迁移
超权限查封扣押,规范执法司法行为
违法干预经济纠纷,规范执法司法行为
逐利性执法,规范执法司法行为
异地执法,规范执法司法行为
设立分公司,不得强制设立本地机构
在当地设立子公司,不得强制设立本地机构
必须在本地??,不得强制设立本地机构
达标资质管理,严格执行国家统一标准
企业资质审核,严格执行国家统一标准
资质达标证明,严格执行国家统一标准
档案号牌,规范行业协会行为
备案合格证,规范行业协会行为
行业协会收费,规范行业协会行为
招标代理名录库,保障经营主体平等准入
资格库,保障经营主体平等准入
备选库,保障经营主体平等准入
指定机构,保障经营主体平等准入
特许经营权拍卖,防止行政性垄断
独家经营权,防止行政性垄断
垄断经营,防止行政性垄断
唯一资格,防止行政性垄断
唯一经营,防止行政性垄断
独家企业,防止行政性垄断
万众创新,过时的提法，优化
工作专班,谨慎使用，工作专班需要对标上级机构且已经审批同意设立
支持**代表性企业做大做强,涉嫌违背公平竞争审查条例
同考核,与基层减负精神不符
市场主体,与当前政策要求不匹配，除已有文件外，必须修改。
放管服,与当前政策要求不匹配，除已有文件外，必须修改。
错误词,建议词
北朝鲜,朝鲜
新时代思想,习近平新时代中国特色社会主义思想
习大大,习近平总书记
共党,中国共产党
中共,中国共产党
党国,中国共产党
国家领导人,党和国家领导人
达赖喇嘛,十四世达赖
六四学潮,1989年春夏之交的政治风波
64学潮,1989年春夏之交的政治风波
八九学潮,1989年春夏之交的政治风波
89学潮,1989年春夏之交的政治风波
文化大革命,十年内乱
文革,十年内乱
坚持马克思列宁主义,坚持把马克思主义基本原理同中国具体实际相结合
党的政治领导,坚持和加强党的全面领导
思想领导,坚持和加强党的全面领导
会议决定事项,会议研究事项
